Sample in Buffer,Sample in Window,GTH_eth_10G_to_XG_PON_if_inst/Xg_PON_if_qsfp_gty/gtwiz_userdata_rx_int[31:0],GTH_eth_10G_to_XG_PON_if_inst/Xg_PON_if_qsfp_gty/gtwiz_userclk_rx_active_int,,,
0,0,d6816b6a,1,,,
1,1,d681ab6a,1,,d6816b6a,FALSE
2,2,d681eb6a,1,,d681ab6a,FALSE
3,3,d6802b6a,1,,d681eb6a,FALSE
4,4,d6806b6a,1,,d6802b6a,FALSE
5,5,d680ab6a,1,,d6806b6a,FALSE
6,6,d680eb6a,1,,d680ab6a,FALSE
7,7,d6872b6a,1,,d680eb6a,FALSE
8,8,d6876b6a,1,,d6872b6a,FALSE
9,9,d687ab6a,1,,d6876b6a,FALSE
10,10,d687eb6a,1,,d687ab6a,FALSE
11,11,d6862b6a,1,,d687eb6a,FALSE
12,12,d6866b6a,1,,d6862b6a,FALSE
13,13,d686ab6a,1,,d6866b6a,FALSE
14,14,d686eb6a,1,,d686ab6a,FALSE
15,15,d6852b6a,1,,d686eb6a,FALSE
16,16,d6856b6a,1,,d6852b6a,FALSE
17,17,d685ab6a,1,,d6856b6a,FALSE
18,18,d685eb6a,1,,d685ab6a,FALSE
19,19,d6842b6a,1,,d685eb6a,FALSE
20,20,d6846b6a,1,,d6842b6a,FALSE
21,21,d684ab6a,1,,d6846b6a,FALSE
22,22,d684eb6a,1,,d684ab6a,FALSE
23,23,d69b2b6a,1,,d684eb6a,FALSE
24,24,d69b6b6a,1,,d69b2b6a,FALSE
25,25,d69bab6a,1,,d69b6b6a,FALSE
26,26,d69beb6a,1,,d69bab6a,FALSE
27,27,d69a2b6a,1,,d69beb6a,FALSE
28,28,d69a6b6a,1,,d69a2b6a,FALSE
29,29,d69aab6a,1,,d69a6b6a,FALSE
30,30,d69aeb6a,1,,d69aab6a,FALSE
31,31,d6992b6a,1,,d69aeb6a,FALSE
32,32,d6996b6a,1,,d6992b6a,FALSE
33,33,d699ab6a,1,,d6996b6a,FALSE
34,34,d699eb6a,1,,d699ab6a,FALSE
35,35,d6982b6a,1,,d699eb6a,FALSE
36,36,d6986b6a,1,,d6982b6a,FALSE
37,37,d698ab6a,1,,d6986b6a,FALSE
38,38,d698eb6a,1,,d698ab6a,FALSE
39,39,d69f2b6a,1,,d698eb6a,FALSE
40,40,d69f6b6a,1,,d69f2b6a,FALSE
41,41,d69fab6a,1,,d69f6b6a,FALSE
42,42,d69feb6a,1,,d69fab6a,FALSE
43,43,d69e2b6a,1,,d69feb6a,FALSE
44,44,d69e6b6a,1,,d69e2b6a,FALSE
45,45,d69eab6a,1,,d69e6b6a,FALSE
46,46,d69eeb6a,1,,d69eab6a,FALSE
47,47,d69d2b6a,1,,d69eeb6a,FALSE
48,48,d69d6b6a,1,,d69d2b6a,FALSE
49,49,d69dab6a,1,,d69d6b6a,FALSE
50,50,d69deb6a,1,,d69dab6a,FALSE
51,51,d69c2b6a,1,,d69deb6a,FALSE
52,52,d69c6b6a,1,,d69c2b6a,FALSE
53,53,d69cab6a,1,,d69c6b6a,FALSE
54,54,d69ceb6a,1,,d69cab6a,FALSE
55,55,d6932b6a,1,,d69ceb6a,FALSE
56,56,d6936b6a,1,,d6932b6a,FALSE
57,57,d693ab6a,1,,d6936b6a,FALSE
58,58,d693eb6a,1,,d693ab6a,FALSE
59,59,d6922b6a,1,,d693eb6a,FALSE
60,60,d6926b6a,1,,d6922b6a,FALSE
61,61,d692ab6a,1,,d6926b6a,FALSE
62,62,d692eb6a,1,,d692ab6a,FALSE
63,63,d6912b6a,1,,d692eb6a,FALSE
64,64,d6916b6a,1,,d6912b6a,FALSE
65,65,d691ab6a,1,,d6916b6a,FALSE
66,66,d691eb6a,1,,d691ab6a,FALSE
67,67,d6902b6a,1,,d691eb6a,FALSE
68,68,d6906b6a,1,,d6902b6a,FALSE
69,69,d690ab6a,1,,d6906b6a,FALSE
70,70,d690eb6a,1,,d690ab6a,FALSE
71,71,d6972b6a,1,,d690eb6a,FALSE
72,72,d6976b6a,1,,d6972b6a,FALSE
73,73,d697ab6a,1,,d6976b6a,FALSE
74,74,d697eb6a,1,,d697ab6a,FALSE
75,75,d6962b6a,1,,d697eb6a,FALSE
76,76,d6966b6a,1,,d6962b6a,FALSE
77,77,d696ab6a,1,,d6966b6a,FALSE
