Sample in Buffer,GTH_eth_10G_emulator_inst/eth_axis_usrrx_TDATA[31:0],GTH_eth_10G_emulator_inst/eth_axis_usrrx_TVALID,GTH_eth_10G_emulator_inst/eth_axis_usrrx_TLAST,GTH_eth_10G_emulator_inst/eth_axis_usrrx_TKEEP[3:0]
0,adab5a18,1,0,f
1,adab5a19,1,0,f
2,adab5a1a,1,0,f
3,adab5a1b,1,0,f
4,adab5a14,1,0,f
5,adab5a15,1,0,f
6,adab5a16,1,0,f
7,adab5a17,1,0,f
8,adab5a10,1,0,f
9,adab5a11,1,0,f
10,adab5a12,1,0,f
11,adab5a13,1,0,f
12,adab5a6c,1,0,f
13,adab5a6d,1,0,f
14,adab5a6e,1,0,f
15,adab5a6f,1,0,f
16,adab5a68,1,0,f
17,adab5a69,1,0,f
18,adab5a6a,1,0,f
19,adab5a6b,1,0,f
20,adab5a64,1,0,f
21,adab5a65,1,0,f
22,adab5a66,1,0,f
23,adab5a67,1,0,f
24,adab5a60,1,0,f
25,adab5a61,1,0,f
26,adab5a62,1,0,f
27,adab5a63,1,0,f
28,adab5a7c,1,0,f
29,adab5a7d,1,0,f
30,adab5a7e,1,0,f
31,adab5a7f,1,0,f
32,adab5a78,1,0,f
33,adab5a79,1,0,f
34,adab5a7a,1,0,f
35,adab5a7b,1,0,f
36,adab5a74,1,0,f
37,adab5a75,1,0,f
38,adab5a76,1,0,f
39,adab5a77,1,0,f
40,adab5a70,1,0,f
41,adab5a71,1,0,f
42,adab5a72,1,0,f
43,adab5a73,1,0,f
44,adab5a4c,1,0,f
45,adab5a4d,1,0,f
46,adab5a4e,1,0,f
47,adab5a4f,1,0,f
48,adab5a48,1,0,f
49,adab5a49,1,0,f
50,adab5a4a,1,0,f
51,adab5a4b,1,0,f
52,adab5a44,1,0,f
53,adab5a45,1,0,f
54,adab5a46,1,0,f
55,adab5a47,1,0,f
56,adab5a40,1,0,f
57,adab5a41,1,0,f
58,adab5a42,1,0,f
59,adab5a43,1,0,f
60,adab5a5c,1,0,f
61,adab5a5d,1,0,f
62,adab5a5e,1,0,f
63,adab5a5f,1,0,f
64,adab5a58,1,0,f
65,adab5a59,1,0,f
66,adab5a5a,1,0,f
67,adab5a5b,1,0,f
68,adab5a54,1,0,f
69,adab5a55,1,0,f
70,adab5a56,1,0,f
71,adab5a57,1,0,f
72,adab5a50,1,0,f
73,adab5a51,1,0,f
74,adab5a52,1,0,f
75,adab5a53,1,0,f
76,aaaaaaaa,1,1,f
77,aaaaaaaa,0,0,f
78,aaaaaaaa,0,0,f
79,aaaaaaaa,0,0,f
80,aaaaaaaa,0,0,f
81,aaaaaaaa,0,0,f
82,aaaaaaaa,0,0,f
83,aaaaaaaa,0,0,f
84,aaaaaaaa,0,0,f
85,aaaaaaaa,0,0,f
86,aaaaaaaa,0,0,f
87,aaaaaaaa,0,0,f
88,aaaaaaaa,0,0,f
89,aaaaaaaa,0,0,f
90,aaaaaaaa,0,0,f
91,aaaaaaaa,0,0,f
92,aaaaaaaa,0,0,f
93,aaaaaaaa,0,0,f
94,aaaaaaaa,0,0,f
95,aaaaaaaa,0,0,f
96,aaaaaaaa,0,0,f
97,aaaaaaaa,0,0,f
98,aaaaaaaa,0,0,f
99,aaaaaaaa,0,0,f
100,aaaaaaaa,0,0,f
101,aaaaaaaa,0,0,f
102,aaaaaaaa,0,0,f
103,aaaaaaaa,0,0,f
104,aaaaaaaa,0,0,f
105,aaaaaaaa,0,0,f
106,aaaaaaaa,0,0,f
107,aaaaaaaa,0,0,f
108,aaaaaaaa,0,0,f
109,aaaaaaaa,0,0,f
110,aaaaaaaa,0,0,f
111,adab5aac,1,0,f
112,adab5aad,1,0,f
113,adab5aae,1,0,f
114,adab5aaf,1,0,f
115,adab5aa8,1,0,f
116,adab5aa9,1,0,f
117,adab5aaa,1,0,f
118,adab5aab,1,0,f
119,adab5aa4,1,0,f
120,adab5aa5,1,0,f
121,adab5aa6,1,0,f
122,adab5aa7,1,0,f
123,adab5aa0,1,0,f
124,adab5aa1,1,0,f
125,adab5aa2,1,0,f
126,adab5aa3,1,0,f
127,adab5abc,1,0,f
128,adab5abd,1,0,f
129,adab5abe,1,0,f
130,adab5abf,1,0,f
131,adab5ab8,1,0,f
132,adab5ab9,1,0,f
133,adab5aba,1,0,f
134,adab5abb,1,0,f
135,adab5ab4,1,0,f
136,adab5ab5,1,0,f
137,adab5ab6,1,0,f
138,adab5ab7,1,0,f
139,adab5ab0,1,0,f
140,adab5ab1,1,0,f
141,adab5ab2,1,0,f
142,adab5ab3,1,0,f
143,adab5a8c,1,0,f
144,adab5a8d,1,0,f
145,adab5a8e,1,0,f
146,adab5a8f,1,0,f
147,adab5a88,1,0,f
148,adab5a89,1,0,f
