Sample in Buffer,GTH_eth_10G_to_XG_PON_if_inst/Xg_PON_if_qsfp_gty/gtwiz_userdata_tx_int[31:0],,shifted Duplicate,check for next is not dupliicate
0,adab5ae9,,,
1,adab5aea,,adab5ae9,FALSE
2,adab5aeb,,adab5aea,FALSE
3,adab5ae4,,adab5aeb,FALSE
4,adab5ae5,,adab5ae4,FALSE
5,adab5ae6,,adab5ae5,FALSE
6,adab5ae7,,adab5ae6,FALSE
7,adab5ae0,,adab5ae7,FALSE
8,adab5ae1,,adab5ae0,FALSE
9,adab5ae2,,adab5ae1,FALSE
10,adab5ae3,,adab5ae2,FALSE
11,adab5afc,,adab5ae3,FALSE
12,adab5afd,,adab5afc,FALSE
13,adab5afe,,adab5afd,FALSE
14,adab5aff,,adab5afe,FALSE
15,adab5af8,,adab5aff,FALSE
16,adab5af9,,adab5af8,FALSE
17,adab5afa,,adab5af9,FALSE
18,adab5afb,,adab5afa,FALSE
19,adab5af4,,adab5afb,FALSE
20,adab5af5,,adab5af4,FALSE
21,adab5af6,,adab5af5,FALSE
22,adab5af7,,adab5af6,FALSE
23,adab5af0,,adab5af7,FALSE
24,adab5af1,,adab5af0,FALSE
25,adab5af2,,adab5af1,FALSE
26,adab5af3,,adab5af2,FALSE
27,adab5acc,,adab5af3,FALSE
28,adab5acd,,adab5acc,FALSE
29,adab5ace,,adab5acd,FALSE
30,adab5acf,,adab5ace,FALSE
31,adab5ac8,,adab5acf,FALSE
32,adab5ac9,,adab5ac8,FALSE
33,adab5aca,,adab5ac9,FALSE
34,adab5acb,,adab5aca,FALSE
35,adab5ac4,,adab5acb,FALSE
36,adab5ac5,,adab5ac4,FALSE
37,adab5ac6,,adab5ac5,FALSE
38,adab5ac7,,adab5ac6,FALSE
39,adab5ac0,,adab5ac7,FALSE
40,adab5ac1,,adab5ac0,FALSE
41,adab5ac2,,adab5ac1,FALSE
42,adab5ac3,,adab5ac2,FALSE
43,adab5adc,,adab5ac3,FALSE
44,adab5add,,adab5adc,FALSE
45,adab5ade,,adab5add,FALSE
46,adab5adf,,adab5ade,FALSE
47,adab5ad8,,adab5adf,FALSE
48,adab5ad9,,adab5ad8,FALSE
49,adab5ada,,adab5ad9,FALSE
50,adab5adb,,adab5ada,FALSE
51,adab5ad4,,adab5adb,FALSE
